name,location,address,lon,lat,tags
읍천리382세종,보람동,세종특별자치시 세종특별자치시 시청대로 163,127.289422449002,36.4811259246567,#카페 #세종
메가엠지씨커피세종,반곡동,세종특별자치시 세종특별자치시 한누리대로 1834,127.311104982692,36.4979860635314,#카페 #세종
무지개카페,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림로 25,127.294328390929,36.5920273757147,#카페 #세종
풍류아리랑,금남면,세종특별자치시 세종특별자치시 금남면 용포로 53,127.280520786061,36.4634574257854,#카페 #세종
크로플덕오리아가씨,조치원읍,세종특별자치시 세종특별자치시 조치원읍 행복8길 2,127.291297020006,36.6031368689119,#카페 #세종
바리스타래빗,어진동,세종특별자치시 세종특별자치시 도움8로 11-11,127.262797201934,36.5076454807569,#카페 #세종
컴포즈커피세종,종촌동,세종특별자치시 세종특별자치시 도움1로 106,127.248124929699,36.5028196741882,#카페 #세종
언노크,새롬동,세종특별자치시 세종특별자치시 새롬로 26,127.256200337861,36.4874378897232,#카페 #세종
이디야커피세종명학,연동면,세종특별자치시 세종특별자치시 연동면 명학산단1로 18,127.336601659765,36.5401177486949,#카페 #세종
빽다방세종,조치원읍,세종특별자치시 세종특별자치시 조치원읍 섭골길 99,127.285431373568,36.6188669120071,#카페 #세종
크림당,나성동,세종특별자치시 세종특별자치시 나성로 41,127.262882153392,36.48324198423,#카페 #세종
키즈다쿵2,보람동,세종특별자치시 세종특별자치시 한누리대로 2165,127.286462382431,36.4773031452894,#카페 #세종
땅콩228,소정면,세종특별자치시 세종특별자치시 소정면 소정구길 228,127.158342097961,36.7244277892292,#카페 #세종
메가엠지씨커피세종고운남측점,고운동,세종특별자치시 세종특별자치시 고운서길 7,127.234748962734,36.5053068977474,#카페 #세종
페이버디저트&샌드위치,해밀동,세종특별자치시 세종특별자치시 해밀3로 85,127.267732795894,36.5307941250204,#카페 #세종
메가엠지씨커피세종봉암점,연서면,세종특별자치시 세종특별자치시 연서면 당산로 345,127.282442383297,36.5625076424962,#카페 #세종
카페네이비블루,장군면,세종특별자치시 세종특별자치시 장군면 당암길 42,127.233107709064,36.49774040675,#카페 #세종
스트릿1988세종나성점,나성동,세종특별자치시 세종특별자치시 한누리대로 205,127.25992382445,36.4829150363117,#카페 #세종
방그레커피,보람동,세종특별자치시 세종특별자치시 시청대로 123,127.285342946956,36.479369479645,#카페 #세종
빽다방세종고운하모니점,고운동,세종특별자치시 세종특별자치시 마음로 272-28,127.235505649137,36.5192642847768,#카페 #세종
쉬즈베이글,고운동,세종특별자치시 세종특별자치시 마음안로 34,127.238766673925,36.5086782553702,#카페 #세종
카페요아정,도담동,세종특별자치시 세종특별자치시 한누리대로 589,127.258460079161,36.5159365595042,#카페 #세종
컴포즈커피세종산울점,산울동,세종특별자치시 세종특별자치시 산울2로 10,127.262436093917,36.5296344011992,#카페 #세종
카페205,나성동,세종특별자치시 세종특별자치시 한누리대로 205,127.25992382445,36.4829150363117,#카페 #세종
바닐라가든,조치원읍,세종특별자치시 세종특별자치시 조치원읍 내창1길 35,127.289673479876,36.608331386304,#카페 #세종
빽다방세종부강점,부강면,세종특별자치시 세종특별자치시 부강면 부강로 53,127.365067267197,36.5305268999858,#카페 #세종
